Verb,English,je,tu,il/elle,nous,vous,ils/elles
accepter,to accept,accepte,acceptes,accepte,acceptons,acceptez,acceptent
acheter,to buy,achète,achètes,achète,achetons,achetez,achètent
adorer,to adore,adore,adores,adore,adorons,adorez,adorent
agir,to act,agis,agis,agit,agissons,agissez,agissent
aider,to help,aide,aides,aide,aidons,aidez,aident
aimer,to like,aime,aimes,aime,aimons,aimez,aiment
ajouter,to add,ajoute,ajoutes,ajoute,ajoutons,ajoutez,ajoutent
aller,to go,vais,vas,va,allons,allez,vont
appartenir,to belong,appartiens,appartiens,appartient,appartenons,appartenez,appartiennent
appeler,to call,appelle,appelles,appelle,appelons,appelez,appellent
apporter,to bring,apporte,apportes,apporte,apportons,apportez,apportent
apprendre,to learn; to teach,apprends,apprends,apprend,apprenons,apprenez,apprennent
arriver,to arrive,arrive,arrives,arrive,arrivons,arrivez,arrivent
arrêter,to stop,arrête,arrêtes,arrête,arrêtons,arrêtez,arrêtent
assurer,to secure,assure,assures,assure,assurons,assurez,assurent
atteindre,to reach; to achieve,atteins,atteins,atteint,atteignons,atteignez,atteignent
attendre,to wait,attends,attends,attend,attendons,attendez,attendent
avoir,to have,ai,as,a,avons,avez,ont
blesser,to hurt,blesse,blesses,blesse,blessons,blessez,blessent
boire,to drink,bois,bois,boit,buvons,buvez,boivent
bouillir,to boil,bous,bous,bout,bouillons,bouillez,bouillent
casser,to break,casse,casses,casse,cassons,cassez,cassent
changer,to change,change,changes,change,changeons,changez,changent
chanter,to sing,chante,chantes,chante,chantons,chantez,chantent
chercher,to look for,cheche,cherches,cherche,cherchons,cherchez,cherchent
choisir,to choose,choisis,choisis,choisit,choisons,choisez,choisent
commander,to order; to command,commande,commandes,commande,commandons,commandez,commandent
commencer,to begin,commence,commences,commence,commençons,commencez,commencent
comprendre,to understand,comprends,comprends,comprend,comprenons,comprenez,comprennent
compter,to count,compte,comptes,compte,comptons,comptez,comptent
concerner,to concern,concerne,concernes,concerne,concernons,concernez,concernent
conduire,to drive,conduis,conduis,conduit,conduisons,conduisez,conduisent
connaître,to be familiar with,connais,connais,connaît,connaissons,connaissez,connaissent
considérer,to consider,considère,considères,considère,considérons,considérez,considèrent
continuer,to continue,continue,continues,continue,continuons,continuez,continuent
coucher,to put to bed,couche,couches,couche,couchons,couchez,couchent
couper,to cut,coupe,coupes,coupe,coupons,coupez,coupent
courir,to run,cours,cours,court,courons,courez,courent
croire,to believe,crois,crois,croit,croyons,croyez,croient
créer,to create,crée,crées,crée,créons,créez,créent
cuire,to bake,cuis,cuis,cuit,cuisons,cuisez,cuisent
cuisiner,to cook,cuisine,cuisines,cuisine,cuisinons,cuisinez,cuisinent
danser,to dance,danse,danses,danse,dansons,dansez,dansent
demander,to ask; to request,demande,demandes,demande,demandons,demandez,devandent
dessiner,to draw,dessine,dessines,dessine,dessinons,dessinez,dessinent
devenir,to become,deviens,deviens,devient,devenons,devenez,deviennent
devoir,must; to have to,dois,dois,doit,devons,devez,doivent
dire,to say,dis,dis,dit,disons,dites,disent
donner,to give,donne,donnes,donne,donnons,donnez,donnent
dormir,to sleep,dors,dors,dort,dormons,dormez,dorment
décider,to decide,décide,décides,décide,décidons,décidez,décident
défendre,to defend,défends,défends,défend,défendons,défendez,défendent
déjeuner,to have lunch,déjeune,déjeunes,déjeune,déjeunons,déjeunez,déjeunent
désirer,to desire,désire,désires,désire,désirons,désirez,désirent
détester,to hate,déteste,détestes,déteste,détestons,détestez,détestent
embrasser,to kiss; to embrace,embrasse,embrasses,embrasse,embrassons,embrassez,embrassent
empêcher,to prevent,empêche,empêches,empêche,empêchons,empêchez,empêchent
entendre,to hear,entends,entends,entend,entendons,entendez,entendent
entrer,to enter,entre,entres,entre,entrons,entrez,entrent
essayer,to try,essaye,essayes,essaye,essayons,essayez,essayent
examiner,to examine,examine,examines,examine,examinons,examinez,examinent
exister,to exist,existe,existes,existe,existons,existez,existent
expliquer,to explain,explique,expliques,explique,expliquons,expliquez,expliquent
faire,to do; to make,fais,fais,fait,faisons,faites,font
fermer,to close,ferme,fermes,ferme,fermons,fermez,ferment
finir,to finish; to end,finis,finis,finit,finissons,finissez,finissent
gagner,to win,gagne,gagnes,gagne,gagnons,gagnez,gagnent
goûter,to taste,goûte,goûtes,goûte,goûtons,goûtez,goûtent
